symbol,date,price,month
 Year 2012,Jan 1 2012,407,January
 Year 2012,Feb 1 2012,356,Febuary
 Year 2012,Mar 1 2012,463,March
 Year 2012,Apr 1 2012,311,April
 Year 2012,May 1 2012,486,May
 Year 2012,Jun 1 2012,366,June
 Year 2012,Jul 1 2012,458,July
 Year 2012,Aug 1 2012,434,August
 Year 2012,Sept 1 2012,426,September
 Year 2012,Oct 1 2012,458,October
 Year 2012,Nov 1 2012,389,November
 Year 2012,Dec 1 2012,396,December
Year 2013,Jan 1 2013,181,January
Year 2013,Feb 1 2013,152,Febuary
Year 2013,Mar 1 2013,177,March
Year 2013,Apr 1 2013,174,April
Year 2013,May 1 2013,191,May
Year 2013,Jun 1 2013,202,June
Year 2013,Jul 1 2013,226,July
Year 2013,Aug 1 2013,160,August
Year 2013,Sept 1 2013,162,September
Year 2013,Oct 1 2013,234,October
Year 2013,Nov 1 2013,214,November
Year 2013,Dec 1 2013,174,December
Year 2014,Jan 1 2014,189,January
Year 2014,Feb 1 2014,148,Febuary
Year 2014,Mar 1 2014,171,March
Year 2014,Apr 1 2014,165,April
Year 2014,May 1 2014,195,May
Year 2014,Jun 1 2014,179,June
Year 2014,Jul 1 2014,191,July
Year 2014,Aug 1 2014,156,August
Year 2014,Sept 1 2014,176,September
Year 2014,Oct 1 2014,217,October
Year 2014,Nov 1 2014,167,November
Year 2014,Dec 1 2014,162,December
