GSSCode,name,totalAcc,year
E09000001,City of London,57,2013
E09000002,Barking and Dagenham,38,2013
E09000003,Barnet,126,2013
E09000004,Bexley,31,2013
E09000005,Brent,81,2013
E09000006,Bromley,66,2013
E09000007,Camden,103,2013
E09000008,Croydon,64,2013
E09000009,Ealing,78,2013
E09000010,Enfield,67,2013
E09000011,Greenwich,28,2013
E09000012,Hackney,81,2013
E09000013,Hammersmith and Fulham,53,2013
E09000014,Haringey,103,2013
E09000015,Harrow,36,2013
E09000016,Havering,49,2013
E09000017,Hillingdon,53,2013
E09000018,Hounslow,63,2013
E09000019,Islington,71,2013
E09000020,Kensington and Chelsea,61,2013
E09000021,Kingston upon Thames,35,2013
E09000022,Lambeth,124,2013
E09000023,Lewisham,63,2013
E09000024,Merton,32,2013
E09000025,Newham,54,2013
E09000026,Redbridge,50,2013
E09000027,Richmond upon Thames,46,2013
E09000028,Southwark,85,2013
E09000029,Sutton,28,2013
E09000030,Tower Hamlets,85,2013
E09000031,Waltham Forest,52,2013
E09000032,Wandsworth,99,2013
E09000033,Westminster,173,2013
E09000001,City of London,54,2014
E09000002,Barking and Dagenham,40,2014
E09000003,Barnet,96,2014
E09000004,Bexley,23,2014
E09000005,Brent,84,2014
E09000006,Bromley,49,2014
E09000007,Camden,68,2014
E09000008,Croydon,69,2014
E09000009,Ealing,78,2014
E09000010,Enfield,51,2014
E09000011,Greenwich,37,2014
E09000012,Hackney,60,2014
E09000013,Hammersmith and Fulham,67,2014
E09000014,Haringey,82,2014
E09000015,Harrow,49,2014
E09000016,Havering,42,2014
E09000017,Hillingdon,72,2014
E09000018,Hounslow,60,2014
E09000019,Islington,93,2014
E09000020,Kensington and Chelsea,68,2014
E09000021,Kingston upon Thames,39,2014
E09000022,Lambeth,96,2014
E09000023,Lewisham,63,2014
E09000024,Merton,48,2014
E09000025,Newham,0,2014
E09000026,Redbridge,47,2014
E09000027,Richmond upon Thames,52,2014
E09000028,Southwark,67,2014
E09000029,Sutton,29,2014
E09000030,Tower Hamlets,88,2014
E09000031,Waltham Forest,56,2014
E09000032,Wandsworth,80,2014
E09000033,Westminster,137,2014
E09000001,City of London,59,2012
E09000002,Barking and Dagenham,67,2012
E09000003,Barnet,215,2012
E09000004,Bexley,106,2012
E09000005,Brent,140,2012
E09000006,Bromley,128,2012
E09000007,Camden,176,2012
E09000008,Croydon,202,2012
E09000009,Ealing,172,2012
E09000010,Enfield,160,2012
E09000011,Greenwich,115,2012
E09000012,Hackney,249,2012
E09000013,Hammersmith and Fulham,119,2012
E09000014,Haringey,204,2012
E09000015,Harrow,73,2012
E09000016,Havering,107,2012
E09000017,Hillingdon,160,2012
E09000018,Hounslow,142,2012
E09000019,Islington,202,2012
E09000020,Kensington and Chelsea,140,2012
E09000021,Kingston upon Thames,66,2012
E09000022,Lambeth,225,2012
E09000023,Lewisham,149,2012
E09000024,Merton,121,2012
E09000025,Newham,129,2012
E09000026,Redbridge,142,2012
E09000027,Richmond upon Thames,104,2012
E09000028,Southwark,180,2012
E09000029,Sutton,84,2012
E09000030,Tower Hamlets,268,2012
E09000031,Waltham Forest,104,2012
E09000032,Wandsworth,210,2012
E09000033,Westminster,240,2012
